Year,lat,lng,T2M_1,T2M_MAX_1,T2M_MIN_1,PS_1,PW_1
2004.000000,-40.250000,-62.250000,22.294839,26.724516,18.162581,101.087742,2.224516
2004.000000,-40.250000,-61.750000,20.513871,22.212903,18.810645,101.213548,2.332581
2004.000000,-40.250000,-61.250000,19.551290,20.659677,18.544839,101.250968,2.332581
2004.000000,-39.750000,-63.250000,25.776129,34.317097,17.341613,100.584839,2.151613
2004.000000,-39.750000,-62.750000,24.841613,32.555806,17.588065,100.875806,2.280645
2004.000000,-39.750000,-62.250000,23.279677,28.506452,18.436774,101.082903,2.280645
2004.000000,-39.750000,-61.750000,21.491290,23.662903,19.374516,101.200645,2.400000
2004.000000,-39.750000,-61.250000,20.413871,21.787419,19.200323,101.242581,2.400000
2004.000000,-39.250000,-63.250000,25.891935,34.340645,17.598387,100.537097,2.151613
2004.000000,-39.250000,-62.750000,25.234516,33.124194,17.729677,100.846774,2.280645
2004.000000,-39.250000,-62.250000,24.122258,30.272258,18.279677,101.029677,2.280645
2004.000000,-39.250000,-61.750000,22.799032,26.731613,18.909355,101.094839,2.400000
2004.000000,-39.250000,-61.250000,21.933226,25.144839,18.759677,101.134839,2.400000
2004.000000,-38.750000,-63.250000,25.835806,34.000323,17.763548,100.323548,2.183548
2004.000000,-38.750000,-62.750000,25.250968,33.072258,17.674194,100.364516,2.222903
2004.000000,-38.750000,-62.250000,24.548710,31.730645,17.585161,100.267097,2.222903
2004.000000,-38.750000,-61.750000,23.797742,30.343226,17.353226,100.098387,2.243871
2004.000000,-38.750000,-61.250000,23.256129,29.671613,16.874839,100.125484,2.243871
2004.000000,-38.250000,-63.250000,25.530323,33.364194,17.735484,99.564839,2.183548
2004.000000,-38.250000,-62.750000,24.891613,32.729032,17.215161,99.178710,2.222903
2004.000000,-38.250000,-62.250000,24.185161,31.995484,16.529032,98.673871,2.222903
2004.000000,-38.250000,-61.750000,23.537419,31.341613,15.830968,98.338710,2.243871
2004.000000,-38.250000,-61.250000,23.398387,31.311613,15.559355,98.827742,2.243871
2004.000000,-37.750000,-63.250000,25.455484,33.136452,17.761613,99.076774,2.206452
2004.000000,-37.750000,-62.750000,24.774194,32.381935,17.117419,98.575806,2.227419
2004.000000,-37.750000,-62.250000,24.015484,31.668065,16.280323,98.070968,2.227419
2004.000000,-37.750000,-61.750000,23.423226,31.228387,15.549355,97.920323,2.303548
2004.000000,-37.750000,-61.250000,23.482903,31.494516,15.460968,98.666452,2.303548
2004.000000,-37.250000,-63.250000,26.073548,33.730323,18.223871,99.355161,2.206452
2004.000000,-37.250000,-62.750000,25.550968,33.104194,17.739677,99.193548,2.227419
2004.000000,-37.250000,-62.250000,24.876774,32.510645,17.011290,98.980645,2.227419
2004.000000,-37.250000,-61.750000,24.250000,32.074516,16.258387,98.898065,2.303548
2004.000000,-37.250000,-61.250000,23.967742,32.004516,15.858710,99.193226,2.303548
2004.000000,-36.750000,-63.250000,26.757097,34.422903,18.772581,99.617419,2.364516
2004.000000,-36.750000,-62.750000,26.317419,33.943226,18.347742,99.736129,2.412258
2004.000000,-36.750000,-62.250000,25.631290,33.280968,17.700000,99.732903,2.412258
2004.000000,-36.750000,-61.750000,24.892581,32.614516,16.969032,99.670323,2.440968
2004.000000,-36.750000,-61.250000,24.456129,32.393871,16.410968,99.736452,2.440968
2004.000000,-36.250000,-63.250000,27.161290,34.858065,19.163226,99.747097,2.364516
2004.000000,-36.250000,-62.750000,26.717742,34.499677,18.648387,99.891290,2.412258
2004.000000,-36.250000,-62.250000,26.079355,33.894194,18.049677,99.968065,2.412258
2004.000000,-36.250000,-61.750000,25.395161,33.114194,17.495806,100.014516,2.440968
2004.000000,-36.250000,-61.250000,24.820000,32.498387,16.953226,100.073548,2.440968
2005.000000,-40.750000,-63.250000,22.096452,28.279032,15.474516,100.511935,1.563226
2005.000000,-40.750000,-62.750000,21.387097,26.282903,16.226774,100.700645,1.658710
2005.000000,-40.750000,-62.250000,20.416129,23.581613,17.242258,100.852581,1.658710
2005.000000,-40.750000,-61.750000,19.432581,21.230323,17.862258,100.938065,1.842258
2005.000000,-40.750000,-61.250000,18.752258,20.232258,17.618387,100.950000,1.842258
2005.000000,-40.250000,-63.250000,23.181935,30.339677,15.546452,100.452581,1.563226
2005.000000,-40.250000,-62.750000,22.517419,28.687097,16.115161,100.660323,1.658710
2005.000000,-40.250000,-62.250000,21.517419,25.661290,17.356774,100.837742,1.658710
2005.000000,-40.250000,-61.750000,20.368387,22.385161,18.491935,100.944839,1.842258
2005.000000,-40.250000,-61.250000,19.460000,21.010323,18.236129,100.965806,1.842258
2005.000000,-39.750000,-63.250000,23.662903,31.170323,15.731613,100.402258,1.589355
2005.000000,-39.750000,-62.750000,23.079355,30.019032,16.032258,100.673226,1.715806
2005.000000,-39.750000,-62.250000,22.186452,27.152903,17.330323,100.857742,1.715806
